detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
True,448.71,273.09,0.499677,0.539698,389.33,224.49,508.09,321.69,0.6782,0,0.0
True,448.36,273.85,0.499288,0.541206,387.14,225.02,509.59,322.68,0.6736,1,0.04
True,447.12,276.37,0.497901,0.546176,384.8,229.49,509.44,323.24,0.6761,2,0.08
True,446.24,276.79,0.496928,0.547019,383.54,229.78,508.94,323.8,0.6767,3,0.12
True,445.52,276.87,0.496121,0.547169,382.56,230.23,508.48,323.51,0.6679,4,0.16
True,446.6,278.13,0.497327,0.549659,381.47,230.89,511.73,325.36,0.6749,5,0.2
True,449.48,280.15,0.50053,0.553648,380.97,231.13,517.98,329.16,0.6504,6,0.24
True,448.91,280.93,0.499898,0.55519,379.89,231.66,517.93,330.19,0.6425,7,0.28
True,449.27,282.45,0.500302,0.558203,380.72,231.16,517.82,333.74,0.6208,8,0.32
True,448.89,283.22,0.499873,0.559718,380.43,231.16,517.34,335.27,0.6232,9,0.36
True,448.37,282.16,0.499293,0.557619,380.16,231.82,516.57,332.49,0.6356,10,0.4
True,446.81,281.8,0.497567,0.556925,377.75,231.2,515.88,332.41,0.642,11,0.44
True,446.07,282.13,0.496733,0.557564,377.84,230.9,514.29,333.35,0.6795,12,0.48
True,446.71,283.1,0.497451,0.559484,379.64,231.52,513.79,334.68,0.6199,13,0.52
True,447.01,284.81,0.497788,0.562857,381.02,233.78,513.0,335.83,0.5779,14,0.56
True,451.69,283.64,0.502997,0.560545,391.73,232.47,511.66,334.81,0.5404,15,0.6
True,450.91,285.53,0.502132,0.564282,390.29,235.61,511.54,335.44,0.6237,16,0.64
True,450.65,284.89,0.50184,0.563024,389.07,234.72,512.23,335.06,0.6144,17,0.68
True,455.62,287.29,0.507372,0.567761,400.03,240.73,511.21,333.85,0.5968,18,0.72
True,457.61,289.89,0.509589,0.572911,405.1,247.23,510.12,332.55,0.5176,19,0.76
True,457.5,288.6,0.50946,0.570354,404.73,243.67,510.26,333.53,0.5858,20,0.8
True,457.53,290.19,0.509502,0.573506,404.79,246.37,510.28,334.02,0.558,21,0.84
