detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,488.06,700.41,0.254199,0.648529,345.46,583.48,630.66,817.34,0.6575,0,0.0,488.0,583.0
True,483.83,690.32,0.251997,0.639181,341.02,562.6,626.65,818.03,0.7121,1,0.0333,483.0,562.0
True,486.2,693.54,0.253228,0.642164,345.24,579.72,627.16,807.35,0.7079,2,0.0667,486.0,579.0
True,507.46,682.3,0.264301,0.631762,386.52,570.23,628.39,794.37,0.6656,3,0.1,507.0,570.0
True,507.41,688.52,0.264275,0.637521,379.8,570.23,635.02,806.82,0.6185,4,0.1333,507.0,570.0
True,501.48,692.09,0.261189,0.640821,363.55,577.56,639.42,806.62,0.6748,5,0.1667,501.0,577.0
True,509.52,684.58,0.265376,0.633866,370.32,569.35,648.72,799.81,0.7386,6,0.2,509.0,569.0
True,515.96,678.99,0.268728,0.628696,370.93,558.14,660.99,799.84,0.7352,7,0.2333,515.0,558.0
True,517.42,674.16,0.269492,0.624221,382.28,556.69,652.57,791.63,0.7253,8,0.2667,517.0,556.0
True,528.43,671.89,0.275222,0.622118,394.67,556.99,662.18,786.78,0.6628,9,0.3,528.0,556.0
True,527.85,675.27,0.274924,0.625253,397.82,562.34,657.89,788.21,0.6481,10,0.3333,527.0,562.0
True,533.49,679.67,0.277861,0.629326,405.18,568.12,661.81,791.22,0.7021,11,0.3667,533.0,568.0
True,543.99,671.51,0.28333,0.621769,425.88,565.14,662.11,777.88,0.6503,12,0.4,543.0,565.0
True,549.12,657.54,0.285998,0.608836,435.31,554.46,662.92,760.63,0.636,13,0.4333,549.0,554.0
True,550.55,659.66,0.286747,0.610799,432.45,558.92,668.66,760.4,0.6655,14,0.4667,550.0,558.0
True,566.26,658.37,0.294925,0.6096,439.96,556.03,692.55,760.7,0.6303,15,0.5,566.0,556.0
True,569.12,657.23,0.296418,0.608548,441.27,558.61,696.98,755.85,0.6292,16,0.5333,569.0,558.0
True,571.28,647.49,0.297543,0.599531,441.43,539.4,701.13,755.58,0.6833,17,0.5667,571.0,539.0
True,570.72,644.29,0.297248,0.596568,437.0,526.6,704.43,761.99,0.7689,18,0.6,570.0,526.0
True,575.54,645.72,0.299758,0.597889,449.92,536.6,701.15,754.84,0.7342,19,0.6333,575.0,536.0
True,587.79,642.43,0.306141,0.594847,468.65,539.35,706.93,745.52,0.7238,20,0.6667,587.0,539.0
True,598.84,638.81,0.311895,0.591489,477.16,534.4,720.52,743.22,0.6918,21,0.7,598.0,534.0
True,598.69,639.83,0.311815,0.592436,480.33,535.41,717.04,744.25,0.7014,22,0.7333,598.0,535.0
True,608.0,625.37,0.316665,0.579049,491.58,525.14,724.41,725.61,0.6523,23,0.7667,607.0,525.0
True,611.17,636.94,0.318317,0.589757,489.51,534.18,732.82,739.7,0.6626,24,0.8,611.0,534.0
True,612.89,636.33,0.319211,0.589191,494.94,533.08,730.83,739.57,0.6714,25,0.8333,612.0,533.0
True,631.41,623.23,0.32886,0.577067,510.58,518.08,752.24,728.39,0.7137,26,0.8667,631.0,518.0
True,635.73,619.7,0.331112,0.5738,518.77,520.51,752.7,718.9,0.6923,27,0.9,635.0,520.0
True,637.08,624.57,0.331814,0.578308,521.91,527.53,752.25,721.62,0.7294,28,0.9333,637.0,527.0
True,639.5,616.8,0.333074,0.571107,525.28,521.39,753.73,712.2,0.7476,29,0.9667,639.0,521.0
True,643.41,610.87,0.335111,0.565616,528.56,512.31,758.26,709.42,0.742,30,1.0,643.0,512.0
True,646.6,614.99,0.336771,0.569439,528.43,514.73,764.77,715.26,0.6881,31,1.0333,646.0,514.0
True,663.12,621.47,0.345376,0.575435,540.92,527.87,785.32,715.07,0.6431,32,1.0667,663.0,527.0
True,669.53,603.31,0.348713,0.558624,545.14,499.98,793.92,706.65,0.7201,33,1.1,669.0,499.0
True,673.42,599.12,0.350737,0.554737,547.31,494.8,799.52,703.43,0.771,34,1.1333,673.0,494.0
True,684.7,602.46,0.356613,0.55783,562.9,500.01,806.5,704.9,0.7096,35,1.1667,684.0,500.0
True,689.73,593.84,0.359234,0.549855,570.9,491.34,808.56,696.35,0.6905,36,1.2,689.0,491.0
True,699.8,594.53,0.364477,0.55049,580.54,494.54,819.05,694.52,0.6669,37,1.2333,699.0,494.0
True,703.71,599.76,0.366513,0.555329,594.48,511.79,812.93,687.72,0.6505,38,1.2667,703.0,511.0
True,721.09,591.9,0.375569,0.548053,601.63,495.05,840.55,688.74,0.6413,39,1.3,721.0,495.0
True,717.99,594.62,0.373953,0.550577,597.37,493.37,838.61,695.88,0.6475,40,1.3333,717.0,493.0
True,728.49,591.23,0.379422,0.547433,617.34,497.36,839.64,685.09,0.669,41,1.3667,728.0,497.0
True,739.61,575.49,0.385212,0.53286,624.97,476.53,854.25,674.45,0.6981,42,1.4,739.0,476.0
True,740.17,576.12,0.385504,0.533442,627.13,481.97,853.21,670.27,0.6985,43,1.4333,740.0,481.0
True,745.88,590.98,0.388482,0.547207,636.07,503.26,855.7,678.71,0.6879,44,1.4667,745.0,503.0
True,766.24,575.04,0.399082,0.532448,656.75,489.03,875.72,661.06,0.6558,45,1.5,766.0,489.0
True,769.96,575.38,0.401023,0.532755,655.01,485.39,884.91,665.36,0.6208,46,1.5333,769.0,485.0
True,772.42,574.11,0.402304,0.531583,661.66,486.27,883.19,661.95,0.6609,47,1.5667,772.0,486.0
True,781.64,570.83,0.407104,0.528549,671.14,479.98,892.14,661.68,0.7102,48,1.6,781.0,479.0
True,784.22,566.01,0.408448,0.524085,670.17,471.38,898.27,660.65,0.7233,49,1.6333,784.0,471.0
True,792.98,568.57,0.413008,0.526451,683.52,477.23,902.43,659.9,0.6981,50,1.6667,792.0,477.0
True,798.73,563.38,0.416006,0.521645,694.32,473.22,903.14,653.53,0.6797,51,1.7,798.0,473.0
True,803.53,564.7,0.418504,0.522866,698.74,481.88,908.31,647.51,0.6799,52,1.7333,803.0,481.0
True,820.85,564.21,0.427526,0.522414,711.98,474.58,929.72,653.83,0.6751,53,1.7667,820.0,474.0
True,825.92,559.58,0.430164,0.518129,715.62,473.42,936.21,645.74,0.7058,54,1.8,825.0,473.0
True,827.29,556.5,0.43088,0.515275,716.68,471.97,937.9,641.03,0.7322,55,1.8333,827.0,471.0
True,837.55,553.53,0.436224,0.512526,725.03,458.23,950.06,648.83,0.6678,56,1.8667,837.0,458.0
True,845.07,549.38,0.440142,0.508682,738.7,459.68,951.44,639.07,0.6399,57,1.9,845.0,459.0
True,849.31,553.53,0.442348,0.512532,744.35,470.24,954.27,636.83,0.6877,58,1.9333,849.0,470.0
True,872.38,549.15,0.454364,0.50847,762.52,463.13,982.24,635.17,0.6773,59,1.9667,872.0,463.0
True,876.03,552.69,0.456263,0.511747,771.9,473.4,980.15,631.98,0.7394,60,2.0,876.0,473.0
True,881.87,544.3,0.459308,0.503985,774.27,455.77,989.47,632.84,0.6924,61,2.0333,881.0,455.0
True,892.39,540.88,0.464789,0.500813,783.6,455.33,1001.19,626.42,0.6193,62,2.0667,892.0,455.0
True,906.22,532.86,0.47199,0.493387,791.58,444.55,1020.86,621.17,0.6578,63,2.1,906.0,444.0
True,913.51,538.84,0.475785,0.498925,801.59,450.94,1025.43,626.73,0.6395,64,2.1333,913.0,450.0
True,921.28,527.84,0.479832,0.488742,809.38,437.59,1033.17,618.09,0.6769,65,2.1667,921.0,437.0
True,924.8,528.86,0.481667,0.489686,815.88,444.63,1033.72,613.09,0.7015,66,2.2,924.0,444.0
True,935.22,522.78,0.487094,0.48406,827.82,433.67,1042.62,611.9,0.7477,67,2.2333,935.0,433.0
True,935.59,528.85,0.487287,0.489677,828.68,438.92,1042.5,618.78,0.6864,68,2.2667,935.0,438.0
True,947.09,530.96,0.493275,0.491633,841.96,445.23,1052.21,616.7,0.6435,69,2.3,947.0,445.0
True,962.44,528.54,0.501272,0.489391,856.03,444.71,1068.85,612.38,0.6917,70,2.3333,962.0,444.0
True,969.16,521.72,0.50477,0.48307,864.88,435.87,1073.43,607.57,0.7365,71,2.3667,969.0,435.0
True,982.84,521.44,0.511897,0.482811,879.02,436.92,1086.66,605.95,0.7389,72,2.4,982.0,436.0
True,986.42,523.47,0.51376,0.484698,882.3,438.04,1090.54,608.91,0.7323,73,2.4333,986.0,438.0
True,1001.39,520.44,0.521558,0.481885,893.07,437.18,1109.71,603.69,0.7033,74,2.4667,1001.0,437.0
True,1015.65,520.06,0.528985,0.481536,906.17,438.03,1125.13,602.08,0.6847,75,2.5,1015.0,438.0
