detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
False,,,,,,,,,0.0,0,0.0
False,,,,,,,,,0.0,1,0.0334
False,,,,,,,,,0.0,2,0.0667
True,184.76,455.12,0.144344,0.632106,158.09,427.85,211.43,482.38,0.5265,3,0.1001
True,187.62,463.99,0.146582,0.644435,163.28,439.87,211.97,488.12,0.417,4,0.1335
False,,,,,,,,,0.0,5,0.1668
False,,,,,,,,,0.0,6,0.2002
False,,,,,,,,,0.0,7,0.2336
False,,,,,,,,,0.0,8,0.2669
False,,,,,,,,,0.0,9,0.3003
True,726.88,570.8,0.567877,0.792773,706.11,555.98,747.66,585.61,0.3002,10,0.3337
False,,,,,,,,,0.0,11,0.367
False,,,,,,,,,0.0,12,0.4004
False,,,,,,,,,0.0,13,0.4338
True,186.6,424.16,0.145783,0.589111,161.9,403.58,211.3,444.74,0.3575,14,0.4671
True,185.43,421.0,0.144869,0.584716,157.45,396.82,213.41,445.17,0.4902,15,0.5005
True,781.99,181.06,0.610934,0.251467,685.64,97.55,878.35,264.56,0.3094,16,0.5339
False,,,,,,,,,0.0,17,0.5672
True,166.67,458.38,0.130207,0.636642,142.35,438.05,190.98,478.71,0.5788,18,0.6006
True,166.77,458.45,0.130288,0.63673,142.57,438.31,190.96,478.58,0.5866,19,0.634
True,169.13,467.01,0.132133,0.648627,145.35,446.07,192.91,487.95,0.5493,20,0.6673
True,166.43,470.38,0.130023,0.65331,140.01,448.4,192.85,492.36,0.5053,21,0.7007
True,165.86,482.59,0.129578,0.670267,139.1,459.78,192.62,505.4,0.5061,22,0.7341
True,163.88,489.23,0.128032,0.679482,133.66,463.7,194.11,514.75,0.3967,23,0.7674
False,,,,,,,,,0.0,24,0.8008
False,,,,,,,,,0.0,25,0.8342
True,159.94,510.67,0.124954,0.709259,130.65,488.39,189.23,532.94,0.3138,26,0.8675
True,157.68,489.66,0.123185,0.68009,124.94,457.25,190.41,522.08,0.5188,27,0.9009
True,154.05,479.01,0.120354,0.66529,123.57,452.22,184.54,505.8,0.3738,28,0.9343
False,,,,,,,,,0.0,29,0.9676
False,,,,,,,,,0.0,30,1.001
True,148.99,463.67,0.116402,0.643982,123.23,440.05,174.76,487.28,0.5185,31,1.0344
False,,,,,,,,,0.0,32,1.0677
False,,,,,,,,,0.0,33,1.1011
False,,,,,,,,,0.0,34,1.1345
False,,,,,,,,,0.0,35,1.1678
False,,,,,,,,,0.0,36,1.2012
True,803.13,182.8,0.627445,0.25389,701.41,76.32,904.85,289.28,0.3025,37,1.2346
False,,,,,,,,,0.0,38,1.2679
False,,,,,,,,,0.0,39,1.3013
False,,,,,,,,,0.0,40,1.3347
False,,,,,,,,,0.0,41,1.368
False,,,,,,,,,0.0,42,1.4014
False,,,,,,,,,0.0,43,1.4348
False,,,,,,,,,0.0,44,1.4681
False,,,,,,,,,0.0,45,1.5015
False,,,,,,,,,0.0,46,1.5349
False,,,,,,,,,0.0,47,1.5682
False,,,,,,,,,0.0,48,1.6016
False,,,,,,,,,0.0,49,1.635
False,,,,,,,,,0.0,50,1.6683
False,,,,,,,,,0.0,51,1.7017
False,,,,,,,,,0.0,52,1.7351
