detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,265.06,134.2,0.444738,0.399404,202.18,85.01,327.94,183.39,0.5463,0,0.0,265.0,85.0
True,266.03,131.2,0.446363,0.390484,204.35,79.41,327.71,182.99,0.5021,1,0.0334,266.0,79.0
True,444.61,150.46,0.745984,0.447807,401.36,106.61,487.85,194.32,0.4923,2,0.0667,444.0,106.0
True,440.73,146.85,0.739479,0.437055,400.56,104.92,480.9,188.78,0.6844,3,0.1001,440.0,104.0
True,436.03,143.17,0.731596,0.426113,390.32,100.07,481.74,186.28,0.4911,4,0.1335,436.0,100.0
True,366.06,121.97,0.61419,0.363008,313.66,56.0,418.46,187.94,0.3204,7,0.2336,366.0,56.0
True,356.47,146.86,0.598099,0.437097,321.62,104.79,391.31,188.94,0.533,10,0.3337,356.0,104.0
True,351.58,146.29,0.589902,0.435387,323.1,99.21,380.06,193.37,0.4394,11,0.367,351.0,99.0
True,340.51,143.81,0.571328,0.42802,309.45,95.67,371.58,191.96,0.2837,13,0.4338,340.0,95.0
True,339.73,147.52,0.570019,0.439049,309.41,100.9,370.06,194.14,0.4766,14,0.4671,339.0,100.0
True,337.88,148.82,0.566911,0.442928,310.3,102.57,365.46,195.08,0.4784,15,0.5005,337.0,102.0
True,338.09,149.31,0.567266,0.444372,309.4,102.87,366.78,195.75,0.4953,16,0.5339,338.0,102.0
True,340.09,150.06,0.570614,0.446611,309.72,102.89,370.45,197.23,0.5,17,0.5672,340.0,102.0
True,340.56,150.06,0.571406,0.446601,310.49,102.77,370.62,197.34,0.485,18,0.6006,340.0,102.0
True,340.23,149.77,0.570861,0.445738,309.97,102.18,370.49,197.36,0.4872,19,0.634,340.0,102.0
True,340.34,151.31,0.571042,0.450325,311.68,103.68,369.0,198.94,0.5073,20,0.6673,340.0,103.0
True,340.39,152.04,0.571129,0.452488,311.33,105.36,369.45,198.71,0.467,21,0.7007,340.0,105.0
True,341.08,151.77,0.572276,0.451686,312.3,104.55,369.86,198.98,0.4693,22,0.7341,341.0,104.0
True,341.33,151.6,0.572701,0.451177,312.77,104.04,369.89,199.15,0.445,23,0.7674,341.0,104.0
True,341.41,151.6,0.572832,0.451176,312.7,103.99,370.11,199.2,0.459,24,0.8008,341.0,103.0
True,339.78,152.93,0.570108,0.455135,311.62,106.41,367.95,199.44,0.4516,25,0.8342,339.0,106.0
True,338.3,154.62,0.567611,0.460167,307.89,112.29,368.7,196.95,0.4864,26,0.8675,338.0,112.0
True,337.42,157.25,0.566134,0.468018,309.19,114.43,365.65,200.07,0.385,27,0.9009,337.0,114.0
True,337.53,139.23,0.566325,0.414389,315.26,117.46,359.79,161.01,0.2605,31,1.0344,337.0,117.0
True,337.77,140.02,0.566722,0.416738,315.5,117.19,360.03,162.86,0.3059,32,1.0677,337.0,117.0
True,338.53,140.71,0.568,0.418784,316.02,117.31,361.04,164.11,0.3913,33,1.1011,338.0,117.0
True,337.75,141.7,0.5667,0.421736,315.36,118.87,360.15,164.53,0.3277,34,1.1345,337.0,118.0
True,338.03,142.18,0.567166,0.423169,315.4,119.67,360.67,164.7,0.3849,35,1.1678,338.0,119.0
True,338.88,140.43,0.568597,0.417936,315.17,115.62,362.6,165.24,0.4938,36,1.2012,338.0,115.0
True,344.07,104.19,0.577302,0.310089,305.38,39.68,382.77,168.7,0.6088,37,1.2346,344.0,39.0
