detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,205.13,137.62,0.344186,0.40958,177.81,110.02,232.46,165.22,0.7086,0,0.0,205.0,110.0
True,205.29,137.2,0.344439,0.408347,178.36,110.32,232.21,164.09,0.7193,1,0.0334,205.0,110.0
True,205.25,136.89,0.344378,0.4074,178.59,109.63,231.91,164.15,0.7305,2,0.0667,205.0,109.0
True,205.46,136.66,0.344734,0.406714,178.77,109.53,232.15,163.78,0.7319,3,0.1001,205.0,109.0
True,205.46,136.69,0.344732,0.406826,178.57,109.44,232.35,163.95,0.7319,4,0.1335,205.0,109.0
True,204.79,136.55,0.343599,0.406386,177.34,109.1,232.23,163.99,0.7291,5,0.1668,204.0,109.0
True,204.28,137.59,0.342755,0.409491,174.55,107.41,234.01,167.77,0.6968,6,0.2002,204.0,107.0
True,203.97,137.49,0.342232,0.409193,175.88,108.69,232.06,166.29,0.7032,7,0.2336,203.0,108.0
True,204.99,136.72,0.34394,0.40692,177.15,108.73,232.83,164.72,0.705,8,0.2669,204.0,108.0
True,206.0,137.44,0.345639,0.409036,180.14,110.39,231.86,164.48,0.7263,9,0.3003,206.0,110.0
True,205.73,137.12,0.345183,0.408106,178.61,110.13,232.85,164.12,0.6736,10,0.3337,205.0,110.0
True,205.15,136.99,0.344213,0.407715,178.07,110.01,232.23,163.97,0.6962,11,0.367,205.0,110.0
True,205.01,137.42,0.343971,0.409003,177.88,110.66,232.13,164.19,0.6917,12,0.4004,205.0,110.0
True,205.36,136.96,0.344564,0.407623,178.63,110.36,232.09,163.56,0.7232,13,0.4338,205.0,110.0
True,204.95,136.48,0.343878,0.406179,175.02,107.4,234.88,165.55,0.6284,14,0.4671,204.0,107.0
True,204.84,135.55,0.343697,0.403417,175.05,106.32,234.63,164.77,0.6221,15,0.5005,204.0,106.0
True,205.26,136.47,0.344404,0.406166,177.77,109.45,232.76,163.49,0.7111,16,0.5339,205.0,109.0
True,204.48,136.23,0.34309,0.40546,177.09,109.47,231.88,163.0,0.6969,17,0.5672,204.0,109.0
True,204.91,136.6,0.343807,0.406559,177.52,109.56,232.3,163.64,0.6872,18,0.6006,204.0,109.0
True,205.89,136.54,0.345452,0.406359,179.77,110.13,232.01,162.95,0.6878,19,0.634,205.0,110.0
True,204.37,135.77,0.342895,0.404065,178.21,109.36,230.52,162.17,0.6934,20,0.6673,204.0,109.0
True,205.64,136.97,0.345027,0.407637,176.3,108.08,234.97,165.85,0.6013,21,0.7007,205.0,108.0
True,206.13,138.37,0.345848,0.411815,177.64,111.45,234.61,165.29,0.5989,22,0.7341,206.0,111.0
True,204.78,135.53,0.343583,0.403366,176.41,107.79,233.14,163.28,0.6515,23,0.7674,204.0,107.0
True,203.79,135.13,0.341936,0.40217,177.53,108.57,230.05,161.69,0.7001,24,0.8008,203.0,108.0
True,204.59,135.79,0.343278,0.404149,179.3,109.49,229.89,162.1,0.7007,25,0.8342,204.0,109.0
True,204.41,135.69,0.342967,0.403841,178.98,109.4,229.84,161.98,0.7039,26,0.8675,204.0,109.0
True,203.39,135.19,0.341266,0.40236,176.91,108.75,229.88,161.63,0.71,27,0.9009,203.0,108.0
True,204.84,136.6,0.343694,0.406533,176.75,108.54,232.93,164.65,0.6406,28,0.9343,204.0,108.0
True,205.12,136.18,0.344162,0.405303,177.83,109.05,232.41,163.32,0.66,29,0.9676,205.0,109.0
True,205.11,134.39,0.34414,0.399963,178.19,107.5,232.03,161.27,0.6485,30,1.001,205.0,107.0
True,204.86,134.86,0.343718,0.401354,178.23,108.1,231.49,161.61,0.6937,31,1.0344,204.0,108.0
True,204.64,134.79,0.343361,0.401157,178.4,108.11,230.89,161.47,0.6786,32,1.0677,204.0,108.0
True,204.93,134.93,0.343841,0.401568,178.61,108.29,231.25,161.56,0.6805,33,1.1011,204.0,108.0
True,204.59,134.2,0.343278,0.399391,177.68,107.17,231.51,161.22,0.6481,34,1.1345,204.0,107.0
True,205.02,136.53,0.34399,0.406333,178.01,109.47,232.03,163.59,0.5821,35,1.1678,205.0,109.0
True,204.45,134.74,0.343031,0.401015,177.53,107.08,231.36,162.41,0.5687,36,1.2012,204.0,107.0
True,204.17,133.95,0.342565,0.398668,176.86,105.82,231.48,162.09,0.6519,37,1.2346,204.0,105.0
True,204.49,134.69,0.343101,0.400875,177.85,107.76,231.12,161.63,0.6831,38,1.2679,204.0,107.0
True,204.89,134.88,0.343776,0.401433,178.26,107.81,231.52,161.96,0.6603,39,1.3013,204.0,107.0
True,205.04,135.67,0.344021,0.403794,179.2,109.8,230.87,161.55,0.7005,40,1.3347,205.0,109.0
True,205.8,136.07,0.345307,0.404957,176.9,107.46,234.7,164.67,0.5471,41,1.368,205.0,107.0
True,206.1,137.58,0.345803,0.409469,178.02,110.55,234.18,164.61,0.6371,42,1.4014,206.0,110.0
True,205.1,134.6,0.344132,0.400589,176.24,104.68,233.96,164.52,0.6238,43,1.4348,205.0,104.0
True,204.98,135.65,0.343922,0.403712,178.8,109.5,231.16,161.79,0.706,44,1.4681,204.0,109.0
True,205.54,135.79,0.34487,0.404137,179.83,109.86,231.25,161.72,0.7103,45,1.5015,205.0,109.0
True,204.81,135.61,0.343635,0.403589,178.79,109.61,230.82,161.6,0.7051,46,1.5349,204.0,109.0
True,204.54,133.5,0.343187,0.397309,175.98,103.5,233.09,163.49,0.6296,47,1.5682,204.0,103.0
True,206.05,137.62,0.345729,0.409569,177.54,109.49,234.57,165.74,0.5936,48,1.6016,206.0,109.0
True,205.85,135.92,0.345378,0.404517,177.22,107.53,234.47,164.31,0.5763,49,1.635,205.0,107.0
True,203.93,133.4,0.342167,0.397033,176.62,104.8,231.25,162.01,0.657,50,1.6683,203.0,104.0
True,204.33,134.21,0.342839,0.399441,177.08,106.62,231.58,161.81,0.681,51,1.7017,204.0,106.0
True,204.25,134.8,0.342704,0.401177,176.93,107.34,231.57,162.25,0.6789,52,1.7351,204.0,107.0
True,204.25,133.09,0.342696,0.396102,176.36,104.19,232.14,161.99,0.6773,53,1.7684,204.0,104.0
True,205.16,137.03,0.344231,0.407829,178.28,110.38,232.04,163.68,0.5305,54,1.8018,205.0,110.0
True,203.7,134.31,0.341784,0.399733,176.4,104.51,231.0,164.11,0.5748,55,1.8352,203.0,104.0
True,203.66,132.92,0.341703,0.395585,175.96,103.6,231.35,162.23,0.6559,56,1.8685,203.0,103.0
True,203.81,134.12,0.341962,0.399161,176.73,106.28,230.89,161.96,0.6613,57,1.9019,203.0,106.0
True,204.12,134.7,0.342485,0.400897,176.76,107.17,231.48,162.24,0.6722,58,1.9353,204.0,107.0
True,204.03,133.73,0.342337,0.398011,176.57,105.56,231.5,161.91,0.6709,59,1.9686,204.0,105.0
True,204.56,135.55,0.343224,0.403425,175.99,107.76,233.13,163.34,0.507,60,2.002,204.0,107.0
True,205.38,135.93,0.344601,0.404553,178.82,109.1,231.95,162.76,0.6059,61,2.0354,205.0,109.0
True,204.0,133.07,0.342279,0.396051,175.96,103.39,232.03,162.75,0.6118,62,2.0687,203.0,103.0
True,203.71,134.15,0.341799,0.399259,176.81,106.54,230.62,161.76,0.6365,63,2.1021,203.0,106.0
True,204.68,135.0,0.343415,0.401789,179.06,108.73,230.29,161.27,0.6783,64,2.1355,204.0,108.0
True,204.1,134.58,0.342458,0.400539,178.64,108.33,229.57,160.83,0.6451,65,2.1688,204.0,108.0
True,203.74,132.31,0.341837,0.393785,174.72,101.45,232.75,163.17,0.5853,66,2.2022,203.0,101.0
True,205.7,136.59,0.34513,0.406527,178.22,109.24,233.17,163.94,0.5728,67,2.2356,205.0,109.0
True,204.05,133.15,0.34236,0.396272,175.19,102.71,232.9,163.59,0.5679,68,2.2689,204.0,102.0
True,204.02,133.56,0.342314,0.397511,177.32,105.31,230.72,161.82,0.6301,69,2.3023,204.0,105.0
True,204.44,135.1,0.343026,0.402089,178.75,108.82,230.14,161.38,0.6734,70,2.3357,204.0,108.0
True,204.03,134.85,0.342334,0.401333,176.81,107.48,231.25,162.22,0.6645,71,2.369,204.0,107.0
True,203.51,133.14,0.34146,0.396239,175.29,103.51,231.73,162.76,0.5652,72,2.4024,203.0,103.0
True,205.74,135.98,0.345198,0.404699,179.51,109.08,231.96,162.88,0.5972,73,2.4358,205.0,109.0
True,203.75,133.56,0.341863,0.397504,175.87,103.96,231.63,163.16,0.5376,74,2.4691,203.0,103.0
True,204.14,133.48,0.34251,0.397258,175.77,104.12,232.5,162.83,0.5633,75,2.5025,204.0,104.0
True,204.26,134.79,0.342725,0.401162,178.69,108.65,229.84,160.93,0.6552,76,2.5359,204.0,108.0
True,204.44,135.2,0.343021,0.40239,177.39,107.93,231.49,162.48,0.6429,77,2.5692,204.0,107.0
True,203.86,134.44,0.342055,0.400121,176.14,106.73,231.59,162.15,0.6184,78,2.6026,203.0,106.0
True,190.66,125.19,0.319893,0.372585,149.05,84.14,232.27,166.24,0.6088,79,2.636,190.0,84.0
True,205.68,136.56,0.345103,0.406442,177.71,108.73,233.65,164.4,0.5412,80,2.6693,205.0,108.0
True,198.07,128.44,0.33233,0.38225,162.65,90.9,233.49,165.98,0.5568,81,2.7027,198.0,90.0
True,205.8,135.16,0.345294,0.402262,178.97,107.92,232.62,162.4,0.5219,82,2.7361,205.0,107.0
True,204.27,134.82,0.342739,0.401235,177.9,108.15,230.65,161.48,0.6518,83,2.7694,204.0,108.0
True,204.49,135.02,0.343101,0.401835,178.23,108.44,230.75,161.59,0.6655,84,2.8028,204.0,108.0
True,196.06,128.44,0.328952,0.38226,157.79,90.83,234.32,166.05,0.5775,85,2.8362,196.0,90.0
True,187.24,114.55,0.314167,0.340925,139.68,61.36,234.81,167.74,0.5634,86,2.8695,187.0,61.0
True,185.32,118.42,0.310936,0.352444,140.05,69.87,230.59,166.97,0.7085,87,2.9029,185.0,69.0
True,195.75,127.75,0.328448,0.380206,156.86,90.42,234.65,165.08,0.6322,88,2.9363,195.0,90.0
True,204.36,134.88,0.342885,0.401427,177.99,108.1,230.73,161.66,0.6442,89,2.9696,204.0,108.0
True,205.61,135.54,0.344976,0.40338,179.73,109.34,231.48,161.73,0.6727,90,3.003,205.0,109.0
True,204.05,134.11,0.342363,0.399123,176.54,105.72,231.56,162.49,0.577,91,3.0364,204.0,105.0
True,178.47,109.84,0.299448,0.3269,125.81,52.28,231.13,167.4,0.4745,92,3.0697,178.0,52.0
True,205.44,135.09,0.344705,0.402067,178.91,107.93,231.98,162.25,0.4501,93,3.1031,205.0,107.0
