detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,804.01,685.2,0.418757,0.634448,553.07,484.17,1054.95,886.24,0.9285,0,0.0,804,484
True,853.5,674.26,0.444531,0.624312,652.42,485.43,1054.58,863.08,0.7576,1,0.04,853,485
True,867.38,669.16,0.45176,0.619594,682.28,492.75,1052.48,845.57,0.7501,2,0.08,867,492
True,872.23,665.21,0.454284,0.615932,699.44,497.42,1045.01,832.99,0.8478,3,0.12,872,497
True,854.74,666.9,0.445178,0.617504,665.82,477.8,1043.66,856.01,0.7575,4,0.16,854,477
True,930.88,668.05,0.484835,0.618566,825.26,479.0,1036.5,857.11,0.5112,5,0.2,930,479
True,860.31,674.2,0.44808,0.624257,668.91,468.96,1051.72,879.43,0.5131,6,0.24,860,468
True,934.58,667.02,0.486761,0.617607,835.47,461.44,1033.69,872.59,0.3267,7,0.28,934,461
True,850.55,677.61,0.442996,0.627418,651.91,475.02,1049.19,880.21,0.7315,8,0.32,850,475
True,843.12,677.82,0.439124,0.627613,649.8,476.01,1036.43,879.64,0.7452,9,0.36,843,476
True,841.5,673.6,0.438282,0.623702,642.75,463.52,1040.25,883.68,0.4789,10,0.4,841,463
True,842.64,653.43,0.438873,0.605027,641.3,429.88,1043.98,876.98,0.7578,11,0.44,842,429
True,834.65,650.29,0.434714,0.602124,624.87,422.5,1044.43,878.09,0.5802,12,0.48,834,422
True,834.67,649.28,0.434721,0.601187,624.79,423.59,1044.54,874.98,0.7947,13,0.52,834,423
True,908.87,659.05,0.473367,0.610229,808.49,451.85,1009.24,866.24,0.5774,14,0.56,908,451
True,908.55,650.27,0.473203,0.602099,801.01,432.19,1016.09,868.34,0.5512,15,0.6,908,432
True,905.75,646.22,0.471745,0.598351,798.54,431.81,1012.96,860.63,0.5907,16,0.64,905,431
True,812.6,652.39,0.42323,0.604069,613.32,446.29,1011.88,858.5,0.6776,17,0.68,812,446
True,836.19,641.59,0.435514,0.594066,639.98,426.29,1032.39,856.9,0.6442,18,0.72,836,426
True,836.18,624.97,0.435511,0.578671,637.73,393.62,1034.64,856.31,0.7394,19,0.76,836,393
True,720.74,650.49,0.375384,0.602303,396.84,442.04,1044.63,858.93,0.7512,20,0.8,720,442
True,926.67,644.1,0.482643,0.596387,826.49,433.97,1026.86,854.22,0.5852,21,0.84,926,433
True,932.66,654.05,0.485758,0.605604,834.67,439.07,1030.64,869.03,0.6347,22,0.88,932,439
True,939.75,666.35,0.489453,0.616995,828.3,452.24,1051.19,880.47,0.5905,23,0.92,939,452
True,886.13,725.15,0.461526,0.671435,688.87,518.86,1083.39,931.44,0.6308,24,0.96,886,518
True,980.02,720.7,0.510429,0.667318,880.59,514.99,1079.46,926.42,0.5952,25,1.0,980,514
True,888.98,715.9,0.463009,0.662872,694.02,511.79,1083.94,920.01,0.8463,26,1.04,888,511
True,879.81,684.15,0.458235,0.633476,698.33,488.45,1061.3,879.86,0.7159,27,1.08,879,488
True,870.85,640.04,0.45357,0.592627,668.12,426.01,1073.59,854.06,0.8347,28,1.12,870,426
True,845.97,655.62,0.440607,0.607059,644.88,475.85,1047.05,835.39,0.7584,29,1.16,845,475
True,947.59,653.44,0.493536,0.605039,843.53,456.08,1051.64,850.81,0.5681,30,1.2,947,456
True,877.3,647.32,0.456927,0.599371,678.97,442.86,1075.63,851.78,0.5999,31,1.24,877,442
True,949.3,662.07,0.494429,0.613027,840.63,466.5,1057.97,857.64,0.5081,32,1.28,949,466
True,868.64,654.25,0.452415,0.605782,674.86,444.21,1062.41,864.28,0.9042,33,1.32,868,444
True,864.87,674.79,0.450452,0.624809,673.04,500.35,1056.7,849.24,0.8752,34,1.36,864,500
True,868.41,668.09,0.452297,0.618603,679.24,459.45,1057.58,876.74,0.6543,35,1.4,868,459
True,827.0,682.16,0.430731,0.631628,591.15,482.9,1062.85,881.41,0.6571,36,1.44,827,482
True,859.12,667.38,0.447458,0.617945,670.82,475.62,1047.42,859.14,0.8844,37,1.48,859,475
True,845.01,676.49,0.440107,0.626377,638.59,474.61,1051.42,878.37,0.722,38,1.52,845,474
True,847.75,660.85,0.441536,0.611895,653.63,473.29,1041.87,848.4,0.5131,39,1.56,847,473
True,847.08,628.03,0.441186,0.581508,645.41,414.03,1048.74,842.03,0.5992,40,1.6,847,414
True,847.22,610.85,0.441259,0.565606,654.46,387.71,1039.98,834.0,0.6839,41,1.64,847,387
True,825.95,619.6,0.430184,0.573705,628.64,413.97,1023.27,825.23,0.8563,42,1.68,825,413
True,829.44,598.7,0.432001,0.554353,640.77,386.36,1018.11,811.04,0.5291,43,1.72,829,386
True,895.57,594.73,0.466441,0.550679,787.88,386.03,1003.25,803.44,0.5424,44,1.76,895,386
