detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
True,45.9,353.87,0.05111,0.699356,9.49,318.99,82.3,388.76,0.2501,1,0.0334
True,677.14,197.87,0.754052,0.391047,620.55,146.97,733.73,248.77,0.2512,25,0.8342
True,52.62,334.83,0.0586,0.661725,10.24,294.12,95.0,375.55,0.2992,54,1.8018
True,53.06,334.22,0.059089,0.660518,11.43,293.55,94.7,374.9,0.5985,55,1.8352
True,53.28,333.2,0.059335,0.658488,8.75,292.8,97.82,373.59,0.4829,56,1.8685
True,54.3,333.18,0.060467,0.658461,11.09,291.79,97.51,374.57,0.6345,57,1.9019
True,56.06,333.85,0.062426,0.659782,15.83,293.33,96.28,374.37,0.6935,58,1.9353
True,56.65,334.57,0.063086,0.661199,17.77,294.85,95.54,374.28,0.6991,59,1.9686
True,56.35,334.34,0.06275,0.660746,17.17,294.52,95.53,374.16,0.6995,60,2.002
True,57.55,335.15,0.06409,0.662348,19.11,295.25,95.99,375.05,0.7234,61,2.0354
True,58.68,335.62,0.065348,0.663276,20.79,296.05,96.58,375.19,0.7227,62,2.0687
True,58.79,335.91,0.065465,0.663863,20.75,296.45,96.83,375.38,0.7371,63,2.1021
True,58.79,336.1,0.06547,0.664223,20.65,296.75,96.93,375.45,0.7495,64,2.1355
True,58.83,336.2,0.065517,0.664426,20.47,296.74,97.2,375.66,0.7408,65,2.1688
True,59.31,336.38,0.066048,0.664789,20.82,296.87,97.81,375.89,0.7387,66,2.2022
True,60.19,335.42,0.067032,0.662884,20.38,294.44,100.01,376.4,0.7421,67,2.2356
True,60.33,335.14,0.067186,0.662335,18.75,293.99,101.92,376.29,0.7422,68,2.2689
True,61.0,335.28,0.06793,0.662617,19.1,294.22,102.9,376.34,0.7575,69,2.3023
True,61.47,335.34,0.068448,0.662731,19.74,294.3,103.19,376.38,0.7541,70,2.3357
True,62.68,335.75,0.069801,0.663542,21.96,295.15,103.41,376.35,0.7619,71,2.369
True,63.06,335.97,0.070224,0.663967,22.62,295.49,103.5,376.44,0.7683,72,2.4024
True,63.1,335.67,0.070264,0.663382,23.18,294.97,103.01,376.37,0.7783,73,2.4358
True,63.94,335.44,0.071199,0.662928,24.49,294.69,103.38,376.19,0.7876,74,2.4691
True,64.77,335.75,0.072128,0.663536,26.14,295.19,103.4,376.31,0.7937,75,2.5025
True,64.8,335.5,0.072162,0.663039,25.77,294.72,103.83,376.27,0.7964,76,2.5359
True,65.15,335.55,0.072551,0.663138,26.29,294.91,104.01,376.19,0.7988,77,2.5692
