detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,428.09,231.37,0.71827,0.688602,378.89,169.5,477.29,293.24,0.2696,0,0.0,428.0,169.0
True,428.2,232.57,0.718451,0.692174,378.93,172.06,477.46,293.08,0.283,1,0.04,428.0,172.0
True,426.95,228.8,0.71636,0.680948,377.4,163.97,476.5,293.63,0.2858,2,0.08,426.0,163.0
True,61.34,225.35,0.102915,0.67068,35.79,198.35,86.88,252.34,0.4062,23,0.92,61.0,198.0
True,62.59,224.43,0.10501,0.667961,37.0,196.83,88.17,252.04,0.4548,24,0.96,62.0,196.0
True,63.4,224.32,0.106382,0.667629,37.38,195.86,89.43,252.79,0.4332,25,1.0,63.0,195.0
True,428.96,243.0,0.71973,0.723229,379.15,196.62,478.77,289.39,0.3615,26,1.04,428.0,196.0
True,428.91,240.96,0.719654,0.717147,378.29,193.71,479.54,288.21,0.5488,27,1.08,428.0,193.0
True,431.87,239.57,0.724606,0.712992,379.21,192.16,484.53,286.97,0.5495,28,1.12,431.0,192.0
True,63.01,216.48,0.105724,0.644277,36.83,189.44,89.19,243.52,0.4785,29,1.16,63.0,189.0
True,339.62,199.91,0.56983,0.594982,206.45,137.13,472.79,262.7,0.4609,30,1.2,339.0,137.0
True,328.78,200.68,0.551638,0.597267,186.23,139.07,471.32,262.29,0.3952,31,1.24,328.0,139.0
True,64.23,211.29,0.107775,0.628849,39.4,185.0,89.07,237.58,0.4401,32,1.28,64.0,185.0
True,64.75,211.26,0.108635,0.628754,38.77,184.27,90.72,238.25,0.4752,33,1.32,64.0,184.0
True,88.36,175.06,0.148258,0.521008,34.99,112.16,141.73,237.95,0.5628,34,1.36,88.0,112.0
True,88.54,173.7,0.148554,0.516975,34.64,110.04,142.43,237.37,0.5534,35,1.4,88.0,110.0
True,88.8,173.51,0.148998,0.516388,35.06,110.9,142.55,236.11,0.519,36,1.44,88.0,110.0
True,429.41,226.53,0.720491,0.674193,381.66,181.76,477.16,271.3,0.4364,37,1.48,429.0,181.0
True,266.82,209.39,0.447681,0.623195,84.64,125.43,448.99,293.35,0.3005,38,1.52,266.0,125.0
True,427.63,225.4,0.717504,0.670848,382.14,182.2,473.13,268.61,0.2992,39,1.56,427.0,182.0
True,428.99,226.27,0.719777,0.673408,380.57,181.85,477.41,270.68,0.4877,40,1.6,428.0,181.0
True,428.5,226.12,0.718962,0.672989,381.26,181.3,475.74,270.95,0.5635,41,1.64,428.0,181.0
True,427.17,225.7,0.71673,0.67174,381.62,181.37,472.72,270.04,0.5119,42,1.68,427.0,181.0
True,427.22,224.65,0.716805,0.668598,382.09,181.49,472.34,267.81,0.4379,43,1.72,427.0,181.0
True,429.97,225.88,0.721419,0.672255,383.37,180.96,476.56,270.8,0.6562,44,1.76,429.0,180.0
True,432.3,225.21,0.72533,0.670283,384.11,180.29,480.48,270.14,0.6501,45,1.8,432.0,180.0
True,431.95,226.48,0.724742,0.67406,382.66,181.62,481.23,271.35,0.513,46,1.84,431.0,181.0
