detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
True,1021.54,475.02,0.532053,0.43983,952.06,317.12,1091.02,632.91,0.7535,0,0.0
True,1020.76,478.21,0.531646,0.442788,951.66,318.18,1089.86,638.24,0.7512,1,0.04
True,1018.71,477.84,0.530577,0.442446,951.93,318.74,1085.49,636.95,0.7038,2,0.08
True,1018.93,478.41,0.530695,0.442976,951.38,318.92,1086.49,637.9,0.7101,3,0.12
True,1019.42,481.02,0.530946,0.445388,950.71,319.39,1088.12,642.65,0.7163,4,0.16
True,1019.77,480.52,0.53113,0.444925,951.25,318.56,1088.29,642.48,0.7104,5,0.2
True,1019.46,482.54,0.530967,0.446794,952.44,320.29,1086.48,644.78,0.7022,6,0.24
True,1021.65,486.19,0.532109,0.450174,953.16,320.63,1090.13,651.75,0.6912,7,0.28
True,1021.13,487.41,0.53184,0.451304,954.57,324.75,1087.7,650.07,0.6795,8,0.32
True,1021.9,486.4,0.53224,0.450374,954.27,323.47,1089.53,649.33,0.6761,9,0.36
True,1020.68,487.98,0.531604,0.451838,952.19,328.74,1089.17,647.23,0.6768,10,0.4
True,1021.12,487.39,0.531835,0.451286,954.51,324.62,1087.74,650.16,0.6836,11,0.44
True,1020.39,486.31,0.531454,0.450286,954.73,325.0,1086.05,647.62,0.6739,12,0.48
True,1020.62,486.04,0.531572,0.45004,954.84,324.79,1086.4,647.3,0.6767,13,0.52
True,1020.78,486.01,0.531655,0.450011,955.05,325.08,1086.5,646.95,0.677,14,0.56
True,1020.15,487.05,0.531326,0.450974,952.56,328.94,1087.73,645.16,0.661,15,0.6
True,1021.62,486.3,0.532096,0.450277,955.0,325.8,1088.25,646.8,0.6968,16,0.64
True,1021.66,486.34,0.532116,0.450315,955.43,324.52,1087.89,648.17,0.694,17,0.68
True,1021.12,486.15,0.531835,0.450138,955.27,324.04,1086.98,648.25,0.6913,18,0.72
True,1021.21,485.85,0.531882,0.449857,954.8,324.66,1087.62,647.03,0.7058,19,0.76
True,1021.23,486.35,0.531888,0.450325,955.58,325.16,1086.87,647.55,0.6897,20,0.8
True,1020.88,486.34,0.53171,0.450314,956.14,325.42,1085.62,647.25,0.6801,21,0.84
True,1020.67,485.21,0.5316,0.449268,956.02,325.78,1085.33,644.64,0.6715,22,0.88
True,1018.74,487.53,0.530595,0.451413,953.96,328.19,1083.53,646.87,0.6381,23,0.92
True,1020.43,487.31,0.531476,0.451215,954.13,328.49,1086.74,646.13,0.652,24,0.96
True,1018.86,487.3,0.530656,0.451202,954.37,329.05,1083.35,645.55,0.6318,25,1.0
True,1020.05,487.47,0.531278,0.451358,954.13,329.2,1085.98,645.74,0.6372,26,1.04
