detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,424.08,598.54,0.841431,0.665046,382.38,554.07,465.78,643.01,0.728,0,0.0,424.0,554.0
True,425.31,597.41,0.843861,0.663787,383.01,551.92,467.6,642.9,0.7144,1,0.04,425.0,551.0
True,427.65,596.72,0.848518,0.663025,386.73,550.68,468.58,642.77,0.7153,2,0.08,427.0,550.0
True,426.64,597.15,0.8465,0.663501,384.62,550.52,468.65,643.78,0.7005,3,0.12,426.0,550.0
True,428.9,596.72,0.850996,0.663022,387.76,550.48,470.04,642.96,0.707,4,0.16,428.0,550.0
True,430.1,596.34,0.853383,0.662603,390.3,550.79,469.91,641.89,0.7099,5,0.2,430.0,550.0
True,429.68,595.97,0.85254,0.662188,390.54,550.07,468.82,641.87,0.6941,6,0.24,429.0,550.0
True,429.12,595.29,0.851431,0.661438,391.15,549.92,467.1,640.67,0.6885,7,0.28,429.0,549.0
True,429.35,595.42,0.851894,0.661579,390.63,550.2,468.08,640.64,0.6641,8,0.32,429.0,550.0
True,429.84,595.62,0.852862,0.661799,391.21,550.22,468.47,641.02,0.6653,9,0.36,429.0,550.0
True,428.13,596.72,0.849471,0.66302,388.01,551.64,468.26,641.79,0.6627,10,0.4,428.0,551.0
True,423.46,596.75,0.840192,0.663051,379.93,551.23,466.98,642.27,0.6455,11,0.44,423.0,551.0
True,421.89,596.53,0.83708,0.662813,376.5,550.2,467.28,642.86,0.6599,12,0.48,421.0,550.0
True,422.42,596.97,0.838138,0.663299,379.29,552.18,465.56,641.76,0.6085,13,0.52,422.0,552.0
True,421.6,597.22,0.836504,0.663582,381.61,552.47,461.58,641.98,0.314,14,0.56,421.0,552.0
True,425.6,602.7,0.844439,0.66967,387.84,561.86,463.35,643.54,0.328,16,0.64,425.0,561.0
True,340.79,575.42,0.676165,0.639354,308.09,549.7,373.48,601.14,0.3843,38,1.52,340.0,549.0
True,324.71,602.06,0.644263,0.668954,264.6,538.79,384.82,665.33,0.5714,39,1.56,324.0,538.0
True,330.73,599.42,0.656214,0.666024,275.98,539.38,385.49,659.46,0.2608,40,1.6,330.0,539.0
True,335.91,589.04,0.666482,0.654485,291.58,549.35,380.23,628.72,0.4644,41,1.64,335.0,549.0
True,331.33,592.18,0.657391,0.657976,291.58,553.18,371.07,631.17,0.5105,42,1.68,331.0,553.0
True,331.03,594.85,0.656807,0.660949,292.14,554.39,369.92,635.31,0.5306,43,1.72,331.0,554.0
True,336.5,593.82,0.667655,0.659804,294.17,551.27,378.82,636.38,0.5569,44,1.76,336.0,551.0
True,332.06,596.69,0.658841,0.662987,293.45,555.05,370.66,638.33,0.5914,45,1.8,332.0,555.0
True,330.41,595.91,0.655567,0.662123,290.54,554.7,370.27,637.13,0.6533,46,1.84,330.0,554.0
True,330.05,594.27,0.654863,0.660301,288.17,551.95,371.93,636.59,0.6838,47,1.88,330.0,551.0
True,329.57,593.95,0.6539,0.659941,287.47,550.38,371.66,637.51,0.6715,48,1.92,329.0,550.0
True,327.82,592.46,0.650431,0.658287,286.47,549.86,369.16,635.05,0.6977,49,1.96,327.0,549.0
True,324.43,593.07,0.643703,0.658966,284.99,550.97,363.86,635.17,0.6996,50,2.0,324.0,550.0
True,322.96,593.59,0.640796,0.659547,282.64,550.13,363.28,637.06,0.7283,51,2.04,322.0,550.0
True,322.62,592.57,0.640119,0.658414,281.34,549.37,363.9,635.77,0.7314,52,2.08,322.0,549.0
True,321.29,591.56,0.637481,0.657291,280.09,548.04,362.49,635.08,0.742,53,2.12,321.0,548.0
True,318.7,591.7,0.632336,0.657447,278.18,550.59,359.21,632.81,0.744,54,2.16,318.0,550.0
True,317.28,590.88,0.629522,0.656532,277.1,549.53,357.46,632.22,0.7183,55,2.2,317.0,549.0
True,313.22,590.7,0.621477,0.656328,275.38,550.38,351.07,631.01,0.7472,56,2.24,313.0,550.0
True,311.86,589.91,0.618767,0.655457,273.66,550.14,350.06,629.69,0.7251,57,2.28,311.0,550.0
True,311.27,589.61,0.617591,0.655118,273.22,549.29,349.32,629.92,0.7335,58,2.32,311.0,549.0
True,309.62,590.21,0.614325,0.655788,271.9,550.28,347.34,630.14,0.7397,59,2.36,309.0,550.0
True,308.34,589.84,0.611776,0.655373,269.5,549.7,347.17,629.97,0.7424,60,2.4,308.0,549.0
True,306.21,591.13,0.607567,0.656811,267.29,552.32,345.14,629.94,0.7409,61,2.44,306.0,552.0
True,304.91,591.38,0.604984,0.657093,266.13,552.54,343.7,630.23,0.7487,62,2.48,304.0,552.0
True,303.86,591.66,0.602896,0.657402,265.02,552.96,342.7,630.36,0.7343,63,2.52,303.0,552.0
True,303.99,591.7,0.603151,0.657439,264.78,553.27,343.2,630.12,0.7487,64,2.56,303.0,553.0
True,303.49,591.87,0.602168,0.657636,264.83,553.82,342.15,629.92,0.7695,65,2.6,303.0,553.0
True,301.86,591.45,0.598934,0.657171,263.59,553.47,340.13,629.44,0.7829,66,2.64,301.0,553.0
True,300.6,591.22,0.596429,0.656908,262.5,553.29,338.71,629.14,0.7941,67,2.68,300.0,553.0
True,300.24,591.81,0.595722,0.657566,262.79,554.45,337.7,629.17,0.7936,68,2.72,300.0,554.0
True,299.57,592.23,0.594376,0.658028,262.14,554.8,336.99,629.65,0.804,69,2.76,299.0,554.0
True,298.89,591.98,0.593034,0.657756,261.06,553.38,336.72,630.58,0.7993,70,2.8,298.0,553.0
True,297.15,592.28,0.589585,0.658094,259.45,554.17,334.85,630.4,0.8221,71,2.84,297.0,554.0
True,296.14,591.64,0.587587,0.657377,258.62,553.24,333.67,630.04,0.8113,72,2.88,296.0,553.0
True,295.45,592.05,0.586206,0.657829,257.83,553.78,333.07,630.31,0.8289,73,2.92,295.0,553.0
True,294.58,592.46,0.584479,0.658294,256.56,554.68,332.59,630.25,0.833,74,2.96,294.0,554.0
True,292.05,591.91,0.579461,0.657676,253.04,553.75,331.06,630.07,0.8017,75,3.0,292.0,553.0
True,290.29,591.63,0.575964,0.657365,249.87,553.22,330.7,630.03,0.7934,76,3.04,290.0,553.0
True,288.52,590.92,0.572456,0.656575,248.44,551.93,328.6,629.91,0.7579,77,3.08,288.0,551.0
True,287.8,591.42,0.57103,0.657136,248.13,553.77,327.46,629.08,0.7341,78,3.12,287.0,553.0
True,287.15,592.02,0.569748,0.657798,247.87,554.22,326.44,629.82,0.7376,79,3.16,287.0,554.0
True,285.51,591.63,0.566488,0.657372,246.11,554.17,324.91,629.1,0.7369,80,3.2,285.0,554.0
True,284.35,591.7,0.564178,0.657446,245.15,554.03,323.54,629.37,0.7225,81,3.24,284.0,554.0
True,283.11,591.45,0.561725,0.65717,245.08,554.69,321.14,628.21,0.7396,82,3.28,283.0,554.0
True,283.65,591.73,0.562792,0.65748,244.4,554.39,322.9,629.08,0.733,83,3.32,283.0,554.0
