detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
True,301.3,294.52,0.335521,0.582064,252.68,237.39,349.91,351.66,0.6037,0,0.0
True,303.87,293.4,0.338391,0.579848,253.14,236.26,354.61,350.54,0.5867,1,0.0417
True,304.43,292.66,0.339007,0.578386,253.2,236.07,355.66,349.26,0.5841,2,0.0833
True,302.92,293.07,0.337328,0.579186,251.35,236.34,354.49,349.79,0.599,3,0.125
True,303.59,291.15,0.33807,0.575394,249.85,234.69,357.32,347.61,0.5748,4,0.1667
True,304.38,288.91,0.338955,0.570971,249.53,230.78,359.23,347.04,0.6501,5,0.2083
True,304.54,288.97,0.339132,0.571078,249.77,230.66,359.31,347.27,0.6377,6,0.25
True,303.52,285.38,0.337997,0.563987,250.5,233.54,356.54,337.21,0.5538,7,0.2917
True,303.98,286.86,0.338507,0.566919,251.45,234.12,356.51,339.6,0.5422,8,0.3333
True,304.86,287.63,0.339483,0.568436,252.31,233.79,357.4,341.47,0.5917,9,0.375
True,305.56,290.62,0.340266,0.574356,252.97,234.04,358.15,347.21,0.5852,10,0.4167
True,305.81,293.02,0.340551,0.579099,253.0,233.99,358.62,352.06,0.5713,11,0.4583
True,314.39,291.32,0.3501,0.575721,258.7,232.95,370.08,349.68,0.6237,12,0.5
True,316.83,291.25,0.352817,0.575591,260.72,230.23,372.94,352.27,0.6989,13,0.5417
True,316.34,294.76,0.352277,0.582533,262.19,236.22,370.5,353.3,0.7188,14,0.5833
True,317.25,295.36,0.35328,0.583707,263.47,237.08,371.02,353.63,0.7256,15,0.625
True,317.87,295.93,0.35398,0.584846,264.8,237.9,370.95,353.96,0.7283,16,0.6667
True,319.25,295.7,0.355512,0.584395,266.29,237.97,372.2,353.43,0.722,17,0.7083
True,319.35,295.7,0.355625,0.584382,267.15,237.82,371.55,353.58,0.7239,18,0.75
True,320.06,295.38,0.356415,0.583755,268.21,237.67,371.91,353.09,0.7131,19,0.7917
True,320.83,295.84,0.357274,0.584664,269.62,238.55,372.04,353.13,0.7003,20,0.8333
True,321.2,296.22,0.357688,0.585414,270.27,238.93,372.14,353.51,0.7001,21,0.875
True,322.45,296.47,0.35907,0.585917,271.85,239.76,373.04,353.19,0.6859,22,0.9167
True,323.88,296.58,0.360663,0.58613,273.73,239.76,374.03,353.4,0.6654,23,0.9583
True,327.56,296.5,0.364762,0.585976,274.71,239.73,380.4,353.27,0.6823,24,1.0
True,329.31,296.75,0.366712,0.586467,275.39,239.67,383.23,353.84,0.6984,25,1.0417
True,330.28,296.87,0.367791,0.586707,276.13,239.66,384.42,354.09,0.7073,26,1.0833
True,331.69,297.13,0.369365,0.587214,277.48,240.03,385.9,354.23,0.7109,27,1.125
True,332.61,298.45,0.370387,0.589821,277.75,241.74,387.46,355.16,0.7259,28,1.1667
True,334.01,298.56,0.371953,0.590049,278.49,242.46,389.54,354.67,0.7371,29,1.2083
True,335.26,299.01,0.373343,0.590934,279.44,243.24,391.09,354.78,0.7479,30,1.25
True,337.3,299.16,0.375609,0.591227,280.56,243.76,394.04,354.56,0.7565,31,1.2917
True,338.6,298.48,0.377061,0.589878,280.95,242.33,396.25,354.62,0.7682,32,1.3333
True,338.52,299.11,0.376973,0.591136,282.12,242.78,394.92,355.45,0.7784,33,1.375
True,341.05,299.04,0.379794,0.590986,283.59,242.39,398.52,355.69,0.777,34,1.4167
True,341.78,299.36,0.380606,0.591611,283.65,242.73,399.91,355.98,0.7798,35,1.4583
True,342.0,300.34,0.380849,0.593557,284.11,244.06,399.89,356.62,0.7798,36,1.5
True,342.7,301.32,0.381628,0.5955,286.24,245.38,399.16,357.27,0.7762,37,1.5417
True,345.0,301.06,0.384184,0.594978,288.78,246.13,401.21,355.99,0.7726,38,1.5833
True,346.86,302.09,0.386256,0.59702,289.65,245.91,404.07,358.28,0.7597,39,1.625
True,349.71,301.75,0.389435,0.596351,291.14,245.69,408.29,357.82,0.7631,40,1.6667
True,350.82,301.08,0.390669,0.595018,293.42,244.92,408.22,357.24,0.7483,41,1.7083
True,353.84,300.75,0.394033,0.59436,297.49,245.97,410.2,355.53,0.7378,42,1.75
True,356.58,300.14,0.397082,0.593164,301.46,245.43,411.69,354.86,0.7408,43,1.7917
True,361.13,298.78,0.40215,0.590481,303.35,243.19,418.91,354.37,0.7351,44,1.8333
True,362.78,299.07,0.403989,0.591052,305.11,243.41,420.45,354.73,0.7513,45,1.875
True,363.46,299.43,0.404741,0.591759,306.62,243.49,420.29,355.37,0.7561,46,1.9167
True,363.51,300.67,0.404802,0.594202,308.2,244.73,418.82,356.6,0.7322,47,1.9583
True,364.29,301.84,0.405666,0.596516,310.28,245.47,418.29,358.2,0.7461,48,2.0
True,367.04,301.48,0.408736,0.595818,312.46,245.81,421.63,357.16,0.7252,49,2.0417
True,369.19,301.96,0.411127,0.596757,314.55,245.97,423.83,357.95,0.7207,50,2.0833
True,371.51,301.92,0.413713,0.596689,316.51,246.02,426.52,357.83,0.7253,51,2.125
True,372.01,302.24,0.414264,0.597305,317.41,246.08,426.61,358.39,0.7204,52,2.1667
True,371.08,302.44,0.41323,0.597705,317.55,246.28,424.61,358.6,0.7055,53,2.2083
True,372.91,302.58,0.415269,0.59799,317.77,246.33,428.06,358.83,0.7155,54,2.25
True,372.33,301.72,0.414624,0.596292,317.65,246.11,427.01,357.34,0.7119,55,2.2917
True,373.64,301.29,0.416084,0.595438,319.43,246.04,427.86,356.54,0.709,56,2.3333
True,376.29,300.74,0.419032,0.594338,321.26,245.31,431.32,356.16,0.7291,57,2.375
True,377.17,300.66,0.42001,0.594189,322.17,244.91,432.17,356.41,0.7283,58,2.4167
True,377.52,300.83,0.420398,0.594525,322.4,244.88,432.63,356.78,0.7373,59,2.4583
True,378.17,300.61,0.42113,0.594089,322.35,244.78,434.0,356.44,0.7494,60,2.5
True,378.64,300.72,0.421648,0.594304,322.04,244.89,435.24,356.54,0.762,61,2.5417
True,378.49,300.53,0.421478,0.593936,321.87,244.39,435.11,356.67,0.7619,62,2.5833
True,379.77,300.19,0.422912,0.593259,322.97,244.02,436.58,356.36,0.7693,63,2.625
True,380.5,300.18,0.423714,0.593242,323.68,244.17,437.31,356.19,0.7558,64,2.6667
True,381.15,300.43,0.424438,0.593744,324.46,243.65,437.83,357.22,0.7436,65,2.7083
True,383.34,300.62,0.426884,0.594118,325.62,243.0,441.07,358.25,0.7708,66,2.75
True,384.15,300.87,0.427781,0.594605,325.71,243.24,442.58,358.51,0.792,67,2.7917
True,384.67,300.85,0.428366,0.594564,326.36,243.49,442.99,358.21,0.7916,68,2.8333
True,384.11,301.18,0.427739,0.595219,326.21,243.49,442.01,358.87,0.7926,69,2.875
True,383.85,301.22,0.427449,0.595299,326.29,243.63,441.41,358.82,0.7877,70,2.9167
True,384.29,301.34,0.427943,0.595539,326.74,243.8,441.84,358.89,0.778,71,2.9583
True,383.18,300.56,0.4267,0.593985,325.77,243.87,440.58,357.24,0.7655,72,3.0
True,384.97,301.26,0.428695,0.595384,327.35,243.05,442.59,359.48,0.7668,73,3.0417
True,384.25,299.52,0.427897,0.591945,327.59,242.0,440.92,357.05,0.7658,74,3.0833
True,385.27,299.89,0.429032,0.592666,329.11,242.99,441.43,356.79,0.7708,75,3.125
True,386.28,299.35,0.430152,0.591598,331.91,241.98,440.64,356.72,0.76,76,3.1667
True,388.05,298.72,0.432123,0.590351,334.91,240.81,441.18,356.62,0.7374,77,3.2083
True,392.14,298.91,0.436685,0.590734,337.24,241.62,447.04,356.2,0.7217,78,3.25
True,393.76,299.18,0.438484,0.591263,339.39,242.25,448.12,356.11,0.7171,79,3.2917
True,395.42,299.33,0.440334,0.591554,341.9,242.25,448.94,356.4,0.7078,80,3.3333
True,396.74,298.28,0.441801,0.589492,342.87,241.28,450.61,355.29,0.7051,81,3.375
True,397.01,297.99,0.442102,0.588905,343.4,240.0,450.61,355.98,0.7042,82,3.4167
True,397.99,297.27,0.443194,0.587492,343.96,239.12,452.01,355.42,0.7055,83,3.4583
True,401.73,296.66,0.447359,0.586283,344.7,238.1,458.75,355.22,0.736,84,3.5
True,401.47,297.27,0.44707,0.587481,345.34,238.73,457.6,355.8,0.7371,85,3.5417
True,399.17,296.71,0.444508,0.586379,343.69,239.25,454.65,354.17,0.7156,86,3.5833
True,401.73,295.77,0.447356,0.584525,345.49,238.27,457.96,353.27,0.7129,87,3.625
True,403.26,296.13,0.449063,0.585235,348.25,239.26,458.26,353.0,0.7324,88,3.6667
True,405.03,295.78,0.451037,0.58455,350.36,239.04,459.71,352.52,0.7386,89,3.7083
True,407.89,295.35,0.454217,0.583698,352.9,238.7,462.87,352.01,0.7346,90,3.75
True,410.73,295.66,0.457386,0.584313,354.37,237.82,467.1,353.51,0.7337,91,3.7917
True,410.56,295.52,0.457196,0.584023,355.93,238.24,465.19,352.79,0.7236,92,3.8333
True,410.49,295.82,0.457115,0.584627,356.75,238.53,464.23,353.11,0.7171,93,3.875
True,409.29,295.8,0.455781,0.584582,357.92,238.44,460.66,353.16,0.6888,94,3.9167
True,411.38,295.94,0.458107,0.584861,358.73,238.86,464.03,353.02,0.6901,95,3.9583
True,413.25,296.22,0.460184,0.585419,360.64,239.68,465.85,352.76,0.6795,96,4.0
True,416.42,296.11,0.463725,0.585203,362.36,239.39,470.49,352.84,0.6939,97,4.0417
True,419.51,294.88,0.467161,0.582761,363.74,237.56,475.28,352.19,0.6999,98,4.0833
True,420.19,294.82,0.467913,0.582639,365.21,237.08,475.17,352.55,0.7044,99,4.125
True,421.4,294.83,0.469267,0.582658,367.35,237.18,475.46,352.47,0.6892,100,4.1667
True,423.33,293.94,0.471419,0.580916,368.77,235.91,477.9,351.98,0.6791,101,4.2083
True,424.59,292.05,0.472813,0.577167,367.74,233.68,481.43,350.42,0.6911,102,4.25
True,424.16,292.5,0.472334,0.578072,367.94,234.56,480.37,350.45,0.6956,103,4.2917
True,424.42,295.1,0.47263,0.583193,369.05,237.63,479.79,352.56,0.7112,104,4.3333
True,422.74,295.26,0.470758,0.583509,367.91,237.68,477.57,352.83,0.7143,105,4.375
True,423.48,295.65,0.47158,0.584283,367.12,237.5,479.84,353.79,0.7392,106,4.4167
True,419.46,295.29,0.467101,0.583582,366.63,237.06,472.28,353.53,0.6793,107,4.4583
True,423.72,295.35,0.471851,0.583692,368.83,237.64,478.62,353.06,0.7016,108,4.5
True,423.74,294.65,0.47187,0.582312,369.54,236.46,477.94,352.84,0.6353,109,4.5417
True,426.49,295.6,0.474936,0.584196,370.71,237.84,482.28,353.37,0.7146,110,4.5833
True,427.0,294.46,0.475497,0.581933,370.39,236.07,483.61,352.85,0.7165,111,4.625
True,427.19,293.67,0.475713,0.580379,371.56,235.48,482.82,351.86,0.7087,112,4.6667
True,428.18,294.32,0.476819,0.581669,371.74,236.3,484.62,352.35,0.7371,113,4.7083
True,428.82,293.15,0.477532,0.579339,372.49,235.04,485.15,351.25,0.7204,114,4.75
True,429.15,293.96,0.477894,0.580951,373.15,236.27,485.14,351.65,0.7322,115,4.7917
True,430.37,293.98,0.479249,0.580991,376.1,236.78,484.63,351.18,0.7347,116,4.8333
True,431.53,293.62,0.480542,0.580267,377.19,236.47,485.86,350.76,0.7336,117,4.875
True,432.18,292.8,0.481272,0.578665,378.83,236.3,485.54,349.31,0.7103,118,4.9167
True,433.6,293.33,0.482846,0.579707,379.98,237.22,487.21,349.44,0.7148,119,4.9583
True,436.9,293.54,0.486522,0.580112,381.7,237.33,492.09,349.75,0.7052,120,5.0
True,436.91,293.73,0.486536,0.580492,381.62,237.52,492.2,349.94,0.6997,121,5.0417
True,437.53,295.21,0.48723,0.583429,382.02,238.69,493.05,351.73,0.7076,122,5.0833
True,437.18,295.13,0.486841,0.583256,381.75,238.54,492.61,351.72,0.701,123,5.125
True,438.68,296.19,0.488504,0.585364,383.2,240.97,494.15,351.42,0.6847,124,5.1667
True,438.94,295.37,0.488797,0.583745,383.5,239.3,494.38,351.45,0.7041,125,5.2083
True,440.18,296.9,0.490176,0.586757,385.65,241.07,494.7,352.73,0.7155,126,5.25
True,439.24,296.58,0.489136,0.586134,387.68,239.75,490.81,353.41,0.6793,127,5.2917
True,441.04,296.85,0.491141,0.586656,387.01,240.84,495.08,352.86,0.7153,128,5.3333
True,439.45,298.37,0.489366,0.589663,388.55,241.36,490.36,355.38,0.7083,129,5.375
True,442.36,296.38,0.492605,0.58573,388.01,239.24,496.71,353.52,0.7389,130,5.4167
