detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,513.64,148.67,0.867627,0.442462,439.42,83.64,587.86,213.7,0.8655,0,0.0,513.0,83.0
True,514.35,148.3,0.86884,0.441364,442.84,82.93,585.87,213.66,0.845,1,0.0334,514.0,82.0
True,517.46,148.15,0.87409,0.440919,446.8,82.45,588.12,213.85,0.8185,2,0.0667,517.0,82.0
True,519.17,147.82,0.876973,0.439942,448.3,81.8,590.04,213.84,0.8073,3,0.1001,519.0,81.0
True,519.11,148.0,0.876881,0.440469,448.46,81.91,589.77,214.08,0.7695,4,0.1335,519.0,81.0
True,520.22,146.26,0.878742,0.43529,448.85,81.58,591.58,210.93,0.8201,5,0.1668,520.0,81.0
True,520.55,145.92,0.879316,0.434277,449.57,81.8,591.54,210.03,0.813,6,0.2002,520.0,81.0
True,520.48,146.37,0.879192,0.435626,449.46,81.76,591.51,210.98,0.7893,7,0.2336,520.0,81.0
True,520.42,146.33,0.879084,0.43551,449.27,82.21,591.56,210.46,0.7796,8,0.2669,520.0,82.0
True,520.59,147.97,0.879383,0.440378,449.19,81.98,592.0,213.95,0.7926,9,0.3003,520.0,81.0
True,520.38,148.06,0.879026,0.440654,448.77,81.52,592.0,214.6,0.761,10,0.3337,520.0,81.0
True,520.81,148.43,0.879739,0.441747,449.61,82.26,592.0,214.6,0.7696,11,0.367,520.0,82.0
True,518.61,148.02,0.876024,0.440524,445.76,81.74,591.45,214.29,0.7814,12,0.4004,518.0,81.0
True,517.31,148.02,0.873827,0.440528,445.11,81.28,589.5,214.75,0.7707,13,0.4338,517.0,81.0
True,518.31,148.53,0.875522,0.442047,446.24,82.47,590.38,214.59,0.8052,14,0.4671,518.0,82.0
True,519.61,148.35,0.877714,0.441506,447.93,82.04,591.28,214.66,0.7968,15,0.5005,519.0,82.0
True,520.49,148.81,0.879201,0.442881,449.28,82.48,591.7,215.13,0.828,16,0.5339,520.0,82.0
True,520.53,148.71,0.879268,0.442602,449.06,81.84,591.99,215.59,0.7971,17,0.5672,520.0,81.0
True,520.89,148.56,0.879886,0.442154,449.79,81.62,592.0,215.51,0.7362,18,0.6006,520.0,81.0
True,520.68,148.22,0.879526,0.441135,449.36,81.46,592.0,214.98,0.7232,19,0.634,520.0,81.0
True,523.49,146.01,0.884273,0.434556,456.15,81.33,590.83,210.69,0.6617,20,0.6673,523.0,81.0
True,527.2,124.3,0.890537,0.36995,464.53,85.83,589.86,162.77,0.7008,21,0.7007,527.0,85.0
True,528.07,123.53,0.892007,0.367662,466.11,85.66,590.03,161.41,0.7237,22,0.7341,528.0,85.0
True,527.66,124.07,0.89131,0.369257,465.29,85.28,590.02,162.86,0.7225,23,0.7674,527.0,85.0
True,527.19,123.63,0.890519,0.367953,464.73,85.57,589.65,161.69,0.7221,24,0.8008,527.0,85.0
True,523.38,145.69,0.884088,0.433599,455.72,80.83,591.04,210.54,0.7394,25,0.8342,523.0,80.0
True,524.04,121.68,0.885209,0.362131,461.94,85.33,586.15,158.02,0.7345,26,0.8675,524.0,85.0
True,518.52,147.46,0.875881,0.438864,449.37,80.69,587.68,214.23,0.7937,27,0.9009,518.0,80.0
True,514.35,147.18,0.868829,0.438021,447.6,80.69,581.09,213.66,0.8083,28,0.9343,514.0,80.0
True,511.62,146.99,0.864228,0.437484,446.35,81.17,576.9,212.81,0.7953,29,0.9676,511.0,81.0
True,509.18,147.18,0.8601,0.438025,443.41,81.78,574.95,212.57,0.7871,30,1.001,509.0,81.0
True,502.79,146.68,0.849312,0.436558,437.31,81.12,568.27,212.25,0.8375,31,1.0344,502.0,81.0
True,499.62,146.59,0.843959,0.436279,435.19,80.97,564.06,212.21,0.7925,32,1.0677,499.0,80.0
True,496.68,146.73,0.838984,0.436711,434.24,81.43,559.11,212.03,0.756,33,1.1011,496.0,81.0
True,494.35,147.59,0.835049,0.439254,431.22,81.58,557.48,213.6,0.6913,34,1.1345,494.0,81.0
True,484.15,147.48,0.817827,0.438915,419.86,80.45,548.45,214.5,0.6471,35,1.1678,484.0,80.0
True,475.13,146.21,0.802585,0.435144,409.29,79.49,540.97,212.93,0.7015,36,1.2012,475.0,79.0
True,470.75,142.88,0.795181,0.42524,404.8,80.35,536.7,205.41,0.7687,37,1.2346,470.0,80.0
True,465.65,142.84,0.786577,0.425126,399.5,80.28,531.81,205.4,0.7407,38,1.2679,465.0,80.0
True,462.77,144.97,0.781698,0.431469,397.51,80.62,528.02,209.32,0.6753,39,1.3013,462.0,80.0
True,449.11,126.76,0.758635,0.377264,390.4,83.45,507.83,170.07,0.7891,40,1.3347,449.0,83.0
True,445.83,128.48,0.753088,0.382389,385.35,81.35,506.3,175.61,0.7804,41,1.368,445.0,81.0
True,441.55,128.97,0.745864,0.38385,380.67,82.75,502.44,175.2,0.7964,42,1.4014,441.0,82.0
True,437.63,127.36,0.739244,0.379046,378.33,81.03,496.93,173.69,0.8001,43,1.4348,437.0,81.0
True,429.67,127.78,0.725791,0.380301,370.05,81.08,489.28,174.48,0.7949,44,1.4681,429.0,81.0
True,425.31,128.3,0.718428,0.381835,363.89,81.59,486.72,175.0,0.8403,45,1.5015,425.0,81.0
True,419.72,128.27,0.70898,0.381762,360.79,82.18,478.65,174.37,0.8216,46,1.5349,419.0,82.0
True,412.95,127.86,0.697555,0.380532,350.78,81.32,475.12,174.39,0.8563,47,1.5682,412.0,81.0
True,410.73,127.49,0.693806,0.379443,349.4,81.31,472.06,173.68,0.884,48,1.6016,410.0,81.0
True,407.38,127.94,0.688148,0.38076,347.05,82.08,467.72,173.8,0.8986,49,1.635,407.0,82.0
True,399.22,127.33,0.674351,0.378971,337.63,80.96,460.8,173.71,0.8892,50,1.6683,399.0,80.0
True,397.33,127.82,0.671165,0.380423,336.83,80.66,457.83,174.98,0.888,51,1.7017,397.0,80.0
True,392.54,128.05,0.663074,0.381101,334.04,81.36,451.04,174.74,0.8841,52,1.7351,392.0,81.0
True,385.15,127.81,0.650595,0.380376,324.74,80.87,445.57,174.75,0.8789,53,1.7684,385.0,80.0
True,382.06,128.53,0.645366,0.382523,321.34,81.8,442.78,175.25,0.8971,54,1.8018,382.0,81.0
True,377.86,128.67,0.638282,0.382932,318.51,82.06,437.21,175.27,0.892,55,1.8352,377.0,82.0
